cell,rep,base_pick,ref_pick,regret,regret_pos,regret_se,falling_24_32
P0,0,5.0,5.0,0.0,0.0,0.0,False
P0,1,5.0,5.0,0.0,0.0,0.0,False
P0,2,5.0,5.5,-0.0007928822234210775,0.0,0.0002664732388942179,False
P0,3,5.0,5.0,0.0,0.0,0.0,False
P0,4,5.0,5.0,0.0,0.0,0.0,False
P0,5,5.0,5.0,0.0,0.0,0.0,False
P0,6,5.0,5.5,-0.0004884919075459902,0.0,0.00027009702541126295,False
P0,7,5.0,4.5,0.0001059452697437524,0.0001059452697437524,0.0002703890903442207,False
P0,8,5.0,5.0,0.0,0.0,0.0,False
P0,9,5.0,5.0,0.0,0.0,0.0,False
P0,10,5.0,4.5,-9.36434083687429e-05,0.0,0.0002732541277844803,False
P0,11,5.0,5.0,0.0,0.0,0.0,False
P0,12,5.0,5.0,0.0,0.0,0.0,False
P0,13,5.0,4.5,-4.249972432833251e-05,0.0,0.0002687844670964453,False
P0,14,5.0,5.0,0.0,0.0,0.0,False
P0,15,5.0,5.0,0.0,0.0,0.0,False
P0,16,5.0,5.0,0.0,0.0,0.0,False
P0,17,5.0,5.5,-0.0007075355097575187,0.0,0.0002657429037140532,False
P0,18,5.0,5.5,-0.00016143589390648228,0.0,0.000269731674898657,False
P0,19,5.0,5.0,0.0,0.0,0.0,False
P0,20,4.0,4.5,0.0008266385455809543,0.0008266385455809543,0.0002734799514540826,False
P0,21,5.0,5.0,0.0,0.0,0.0,False
P0,22,5.0,5.0,0.0,0.0,0.0,False
P0,23,5.0,5.0,0.0,0.0,0.0,False
P0,24,5.0,5.5,-0.0003452403393729433,0.0,0.0002654474057010541,False
P0,25,5.0,5.0,0.0,0.0,0.0,False
P0,26,5.0,5.0,0.0,0.0,0.0,False
P0,27,4.0,4.0,0.0,0.0,0.0,False
P0,28,5.0,5.0,0.0,0.0,0.0,False
P0,29,4.0,4.5,0.0010618990567540585,0.0010618990567540585,0.000275568905180096,False
P1,0,10.0,10.0,0.0,0.0,0.0,False
P1,1,11.0,10.5,0.0005761262980653217,0.0005761262980653217,0.0001064611175357932,False
P1,2,11.0,10.5,0.0004320534532051356,0.0004320534532051356,0.00010125032478808787,False
P1,3,11.0,10.5,0.0004456974934866198,0.0004456974934866198,0.00010507006451252554,False
P1,4,10.0,10.0,0.0,0.0,0.0,False
P1,5,10.0,10.0,0.0,0.0,0.0,False
P1,6,10.0,10.0,0.0,0.0,0.0,False
P1,7,10.0,10.0,0.0,0.0,0.0,False
P1,8,10.0,10.5,-0.00011203971710129924,0.0,0.00010989026682515823,False
P1,9,10.0,10.0,0.0,0.0,0.0,False
P1,10,11.0,10.5,0.0006137446278912479,0.0006137446278912479,0.00011026311801809913,False
P1,11,11.0,10.5,0.00026812021631773765,0.00026812021631773765,0.00010824119155637868,False
P1,12,10.0,10.0,0.0,0.0,0.0,False
P1,13,10.0,10.5,6.971075595919591e-05,6.971075595919591e-05,0.00011381517066414676,False
P1,14,10.0,10.5,-2.250237634383701e-05,0.0,0.0001069050141552994,False
P1,15,10.0,10.0,0.0,0.0,0.0,False
P1,16,11.0,10.5,0.0004120884011762492,0.0004120884011762492,0.00010885826967565814,False
