distribution,nu,alloc_index,n1,n2,rho,rep,L0,L_dense,L_RBPB,m_dense,m_rbpb,eps_hat,tau,zero,sentinel,sentinel_falling,mcse_at_pick,cond_source,cond_target,runtime_s,B,boot_seed,n_warnings,failure
t5,5.0,0,48,192,0.25,0,0.3957718370938803,0.3796954180209118,0.3440998311202834,31.0,18.0,0.3963394994775431,0.022018861082085728,False,False,False,0.006282602621475997,7.325485879355861,4.9676169996863075,0.009742000023834407,250,"(20260922, 1, 0, 0, 0)",0,
t5,5.0,0,48,192,0.25,1,0.7811875329550025,0.26334210704115046,0.4003225695066399,31.0,18.0,0.2608529532461037,0.014491830735894648,False,False,False,0.005163253354631334,8.400193970152582,4.201999019275608,0.0061888330383226275,250,"(20260922, 1, 0, 0, 1)",0,
t5,5.0,0,48,192,0.25,2,2.3178316885570958,1.112324845073575,1.4789967777820687,31.0,18.0,0.324010395146604,0.01800057750814467,False,False,False,0.007327597536846282,15.855427180540982,5.91644257740027,0.006390209018718451,250,"(20260922, 1, 0, 0, 2)",0,
t5,5.0,0,48,192,0.25,3,0.5216486170929338,0.5471322817982527,0.4972490493439773,31.0,18.0,0.4082952393014045,0.022683068850078026,False,False,False,0.006047691776067174,6.019546630254355,5.25683002366902,0.0060599169810302556,250,"(20260922, 1, 0, 0, 3)",0,
t5,5.0,0,48,192,0.25,4,1.8301272423934773,1.026218148094757,1.2628142151048372,31.0,18.0,0.3465888846943965,0.019254938038577585,False,False,False,0.007358737572552551,5.344178791149984,7.781697133323954,0.006232374988030642,250,"(20260922, 1, 0, 0, 4)",0,
t5,5.0,0,48,192,0.25,5,0.6718781409143944,0.325293608794935,0.3997357493326412,31.0,18.0,0.3127717450489488,0.01737620805827493,False,False,False,0.0062759077166886215,6.639457820316373,4.030527855405437,0.006269917008467019,250,"(20260922, 1, 0, 0, 5)",0,
t5,5.0,0,48,192,0.25,6,0.26801207408288663,0.4131113530937099,0.32050063664374007,31.0,18.0,0.4278843604348919,0.023771353357493995,False,False,False,0.006091450292671665,5.5623131193747914,4.040757056714804,0.006241041992325336,250,"(20260922, 1, 0, 0, 6)",0,
t5,5.0,0,48,192,0.25,7,0.6100311654636915,0.3604932053297873,0.4050589927630892,31.0,18.0,0.3947341207059504,0.021929673372552798,False,False,False,0.007293427965504216,4.405911167955654,4.537539974044061,0.006260624970309436,250,"(20260922, 1, 0, 0, 7)",0,
t5,5.0,0,48,192,0.25,8,0.5980640243667277,0.2939738324605928,0.3562367470914493,31.0,18.0,0.30530949856269274,0.016961638809038487,False,False,False,0.005792077375540765,5.903789131629914,5.713115597674012,0.006218999973498285,250,"(20260922, 1, 0, 0, 8)",0,
t5,5.0,0,48,192,0.25,9,1.0055581857033857,0.34722266857383555,0.5329030434734184,31.0,18.0,0.2827254364381728,0.0157069686910096,False,False,False,0.005557956055946249,8.42810554232488,5.800935181531379,0.006228041020222008,250,"(20260922, 1, 0, 0, 9)",0,
t5,5.0,0,48,192,0.25,10,0.777739012787968,0.7041419625223013,0.6913323930481363,31.0,18.0,0.37323777478351583,0.020735431932417545,False,False,False,0.00539761132357422,5.540190852742045,4.619689824664037,0.006256834021769464,250,"(20260922, 1, 0, 0, 10)",0,
t5,5.0,0,48,192,0.25,11,0.2961765302584731,0.3891879089335961,0.3157469715505949,31.0,18.0,0.3809372035664729,0.021163177975915163,False,False,False,0.0053512688469878585,3.1838363240870016,4.458736366339625,0.006174375012051314,250,"(20260922, 1, 0, 0, 11)",0,
t5,5.0,0,48,192,0.25,12,1.1788081209817018,0.5520899346965453,0.7344987633268882,31.0,18.0,0.34374991846410585,0.019097217692450326,False,False,False,0.006811473855800697,8.048018679855083,5.89850174784485,0.006194374989718199,250,"(20260922, 1, 0, 0, 12)",0,
t5,5.0,0,48,192,0.25,13,0.32289322693272193,0.216856001336748,0.20919948381490144,31.0,18.0,0.3275647623392055,0.018198042352178083,False,False,False,0.005294976448735162,6.661063906602745,6.1406441314253914,0.006160208024084568,250,"(20260922, 1, 0, 0, 13)",0,
t5,5.0,0,48,192,0.25,14,0.7162076458011749,0.3532542840394348,0.43523344839791756,31.0,18.0,0.336682345068107,0.018704574726005944,False,False,False,0.006788719820627098,7.4147737331225585,4.8575105118336195,0.006183792022056878,250,"(20260922, 1, 0, 0, 14)",0,
t5,5.0,0,48,192,0.25,15,0.5369914842033288,0.3578407539452184,0.37273131892513167,31.0,18.0,0.34519438039741723,0.019177465577634292,False,False,False,0.005581345720928305,9.69631177700962,3.7809399144738025,0.006206375022884458,250,"(20260922, 1, 0, 0, 15)",0,
t5,5.0,0,48,192,0.25,16,0.5644321858681498,0.5048359893911685,0.4867988608777343,31.0,18.0,0.3766705605211288,0.020926142251173823,False,False,False,0.005996586060561115,5.462954159891415,5.746245813244448,0.006171541986986995,250,"(20260922, 1, 0, 0, 16)",0,
t5,5.0,0,48,192,0.25,17,0.4552416722745652,0.2880564151724695,0.30359910312021043,31.0,18.0,0.30124690526152803,0.016735939181196,False,False,False,0.005121219579011662,5.999702748461075,3.878755087014664,0.0061341249966062605,250,"(20260922, 1, 0, 0, 17)",0,
t5,5.0,0,48,192,0.25,18,1.6815094798749661,0.7126593258611851,1.0078149905062368,31.0,18.0,0.31353409767855217,0.017418560982141788,False,False,False,0.006899713886422015,7.145663823750082,5.380777296223545,0.006106999993789941,250,"(20260922, 1, 0, 0, 18)",0,
t5,5.0,0,48,192,0.25,19,0.629883665729373,0.6099615377498462,0.5775910035546683,31.0,18.0,0.3210642137001837,0.017836900761121315,False,False,False,0.004735792714843027,11.766612742345274,4.046534433686713,0.006149624998215586,250,"(20260922, 1, 0, 0, 19)",0,
t5,5.0,0,48,192,0.25,20,0.7532830812057102,0.3811348157530967,0.4645892600173771,31.0,18.0,0.3372670696898499,0.018737059427213883,False,False,False,0.0063211081461915335,7.170430523723072,5.154854937802458,0.006197959010023624,250,"(20260922, 1, 0, 0, 20)",0,
t5,5.0,0,48,192,0.25,21,0.4268734363111388,0.2607629628792801,0.275009486551587,31.0,18.0,0.34233215557863683,0.019018453087702045,False,False,False,0.005017686932801808,9.84879208081868,5.190296739588603,0.006244333984795958,250,"(20260922, 1, 0, 0, 21)",0,
t5,5.0,0,48,192,0.25,22,0.9978831058717752,0.46414378015736596,0.6077297859813973,31.0,18.0,0.31390510306291947,0.017439172392384416,False,False,False,0.006073816434718807,8.581513311738393,4.743771354981175,0.0062441249610856175,250,"(20260922, 1, 0, 0, 22)",0,
t5,5.0,0,48,192,0.25,23,0.7330419825140667,0.31641883775228535,0.4169407552143723,31.0,18.0,0.30003836560592606,0.016668798089218114,False,False,False,0.004920190092880557,5.456045242585197,3.4601204259204574,0.006212459004018456,250,"(20260922, 1, 0, 0, 23)",0,
t5,5.0,0,48,192,0.25,24,0.1801793511996554,0.3234503916698722,0.2327087394426075,31.0,18.0,0.3450409945173839,0.019168944139854663,False,False,False,0.00522323778814067,5.863344897944546,5.0475262073563405,0.006225624994840473,250,"(20260922, 1, 0, 0, 24)",0,
t5,5.0,0,48,192,0.25,25,0.4955215167081574,0.43272124040904875,0.4135384910336968,31.0,16.0,0.3035959445968258,0.018974746537301614,False,False,False,0.004802553856691666,5.023018685975765,3.43065501425301,0.006195875001139939,250,"(20260922, 1, 0, 0, 25)",0,
t5,5.0,0,48,192,0.25,26,0.41023367951028117,0.4468114514660413,0.39438082632974597,31.0,18.0,0.33104929971873553,0.018391627762151974,False,False,False,0.006069498105898827,7.471358877708361,4.416849884340677,0.006090459006372839,250,"(20260922, 1, 0, 0, 26)",0,
t5,5.0,0,48,192,0.25,27,1.2292365547567257,0.673637263915866,0.8268616128926861,31.0,18.0,0.30868923454483504,0.0171494019191575,False,False,False,0.0061118967744313,6.362134082215624,6.040476425791403,0.006113874958828092,250,"(20260922, 1, 0, 0, 27)",0,
t5,5.0,0,48,192,0.25,28,1.3958455576917435,0.9236117407624871,1.0809901135614166,31.0,16.0,0.32589958708025996,0.020368724192516247,False,False,False,0.005166628921426167,5.743075942163957,7.015558628173708,0.006169792031869292,250,"(20260922, 1, 0, 0, 28)",0,
t5,5.0,0,48,192,0.25,29,0.7944794335424243,0.39106322473003424,0.4812359738605777,31.0,18.0,0.3274172297457822,0.0181898460969879,False,False,False,0.00570305520819773,12.841749106709097,5.285829639043038,0.006124125036876649,250,"(20260922, 1, 0, 0, 29)",0,
t5,5.0,0,48,192,0.25,30,0.5934486497099981,0.4262485817848314,0.44422213427039975,31.0,18.0,0.3335852874551829,0.018532515969732384,False,False,False,0.004999303111890266,5.899487005758511,2.9079891188376292,0.00615158403525129,250,"(20260922, 1, 0, 0, 30)",0,
t5,5.0,0,48,192,0.25,31,0.4594051873507913,0.33271294898609516,0.34118129771123756,31.0,16.0,0.33358923271985275,0.020849327044990797,False,False,False,0.005417630969344121,5.790628141953991,4.496026359841094,0.006002665963023901,250,"(20260922, 1, 0, 0, 31)",0,
t5,5.0,0,48,192,0.25,32,0.4733321805592709,0.22898686223030015,0.2729504103779128,31.0,18.0,0.29167516071772215,0.01620417559542901,False,False,False,0.0053657408877048,5.546018774714052,4.592932780219745,0.005992540973238647,250,"(20260922, 1, 0, 0, 32)",0,
t5,5.0,0,48,192,0.25,33,0.5932232556780888,0.5245429163758328,0.5090246009528638,31.0,18.0,0.3419199593727883,0.01899555329848824,False,False,False,0.005778548960232941,6.757527553027144,5.367199496909895,0.0060732499696314335,250,"(20260922, 1, 0, 0, 33)",0,
t5,5.0,0,48,192,0.25,34,0.20898655400872437,0.27214919643870544,0.209410174003894,31.0,18.0,0.34438347820248477,0.019132415455693597,False,False,False,0.006264417621371228,5.719749935863083,5.1189301484711285,0.006142999976873398,250,"(20260922, 1, 0, 0, 34)",0,
t5,5.0,0,48,192,0.25,35,0.39415228618112585,0.5832294680721134,0.4783835704842806,31.0,18.0,0.38038003364300393,0.021132224091277997,False,False,False,0.005647521198930755,6.352111637339252,4.227384737834034,0.006246792036108673,250,"(20260922, 1, 0, 0, 35)",0,
t5,5.0,0,48,192,0.25,36,0.5368717070514386,0.39492835704760165,0.40467226416338553,31.0,18.0,0.3574007698005362,0.019855598322252012,False,False,False,0.005739642124891624,3.6224311719341133,4.072072681366086,0.006271916965488344,250,"(20260922, 1, 0, 0, 36)",0,
t5,5.0,0,48,192,0.25,37,0.2978778972599613,0.2434619171413309,0.22118433549131733,31.0,18.0,0.32364501825435193,0.01798027879190844,False,False,False,0.0049284030768296586,6.204738362783389,6.508797751221602,0.0059009999968111515,250,"(20260922, 1, 0, 0, 37)",0,
t5,5.0,0,48,192,0.25,38,0.28694689950485835,0.2963045151834762,0.2504751099730935,31.0,18.0,0.3366711222971718,0.018703951238731767,False,False,False,0.005332560473276426,7.5136776428917855,3.565393511985605,0.006092874973546714,250,"(20260922, 1, 0, 0, 38)",0,
t5,5.0,0,48,192,0.25,39,0.9605356849963371,0.39933131518103915,0.5516121492774927,31.0,18.0,0.30057177229680493,0.01669843179426694,False,False,False,0.006135261615182855,6.993017324841196,3.289511624773415,0.006157791009172797,250,"(20260922, 1, 0, 0, 39)",0,
t5,5.0,0,48,192,0.25,40,0.9133874041823631,0.5690471821331959,0.6443218135234579,31.0,18.0,0.277285443596742,0.015404746866485668,False,False,False,0.004709684795312815,13.27616045778341,6.766518681917558,0.006124500010628253,250,"(20260922, 1, 0, 0, 40)",0,
t5,5.0,0,48,192,0.25,41,0.38116208784845784,0.4318505739211376,0.3731116948140263,31.0,18.0,0.3530907455508674,0.019616152530603743,False,False,False,0.005891752489598725,6.022587803260572,3.890742120787313,0.006023333000484854,250,"(20260922, 1, 0, 0, 41)",0,
t5,5.0,0,48,192,0.25,42,0.8267095475300176,0.5752178296501396,0.6198564951388958,31.0,18.0,0.3655660070614984,0.020309222614527687,False,False,False,0.006180017099819126,17.509780926305222,4.364872756814786,0.0061750420136377215,250,"(20260922, 1, 0, 0, 42)",0,
t5,5.0,0,48,192,0.25,43,0.3421611543925225,0.42509623282858744,0.34807394090224364,31.0,16.0,0.33760866618376734,0.02110054163648546,False,False,False,0.004556546099511907,7.317957845938858,4.369046532601433,0.006181208998896182,250,"(20260922, 1, 0, 0, 43)",0,
